2019-04-07 15:40:15,618 INFO [root] [base.py (__init__:13] - [base]: 正在获取初始化driver对象:<selenium.webdriver.firefox.webdriver.WebDriver (session="b3cf2704-f254-4bcd-aaf1-dfcd96d1bd97")>
2019-04-07 15:40:15,619 INFO [root] [page_login.py (page_click_login_link:12] - [page_loging] 执行：('partial link text', '登录') 点击链接操作
2019-04-07 15:40:15,619 INFO [root] [base.py (base_click:26] - [base]: 正在对:('partial link text', '登录') 元素实行点击事件
2019-04-07 15:40:15,619 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('partial link text', '登录') 元素，默认定位超时时间为: 30
2019-04-07 15:40:20,482 INFO [root] [page_login.py (page_login:57] - [page_loging] 正在执行登录操作, 用户名：13800001111 密码：123456, 验证码:8888
2019-04-07 15:40:20,482 INFO [root] [page_login.py (page_input_username:17] - [page_loging] 对：('css selector', '#username') 元素 输入用户名：13800001111 操作
2019-04-07 15:40:20,483 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#username') 元素，默认定位超时时间为: 30
2019-04-07 15:40:20,514 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#username') 元素实行清空
2019-04-07 15:40:20,591 INFO [root] [page_login.py (page_input_pwd:22] - [page_loging] 对：('css selector', '#password') 元素 输入密码：123456 操作
2019-04-07 15:40:20,591 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#password') 元素，默认定位超时时间为: 30
2019-04-07 15:40:20,605 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#password') 元素实行清空
2019-04-07 15:40:20,691 INFO [root] [page_login.py (page_input_verify_code:27] - [page_loging] 对：('css selector', '#verify_code') 元素 输入验证码：8888 操作
2019-04-07 15:40:20,692 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#verify_code') 元素，默认定位超时时间为: 30
2019-04-07 15:40:20,716 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#verify_code') 元素实行清空
2019-04-07 15:40:20,823 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.J-login-submit') 元素实行点击事件
2019-04-07 15:40:20,823 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.J-login-submit') 元素，默认定位超时时间为: 30
2019-04-07 15:40:20,945 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('partial link text', '安全退出') 元素，默认定位超时时间为: 2
2019-04-07 15:40:25,411 INFO [root] [base.py (base_element_is_exist:53] - [base]: ('partial link text', '安全退出') 元素查找成功，存在页面
2019-04-07 15:40:25,412 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('partial link text', '安全退出') 元素，默认定位超时时间为: 2
2019-04-07 15:40:25,430 INFO [root] [base.py (base_element_is_exist:53] - [base]: ('partial link text', '安全退出') 元素查找成功，存在页面
2019-04-07 15:40:25,430 INFO [root] [base.py (base_click:26] - [base]: 正在对:('partial link text', '安全退出') 元素实行点击事件
2019-04-07 15:40:25,430 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('partial link text', '安全退出') 元素，默认定位超时时间为: 30
2019-04-07 15:40:25,595 INFO [root] [page_login.py (page_click_login_link:12] - [page_loging] 执行：('partial link text', '登录') 点击链接操作
2019-04-07 15:40:25,595 INFO [root] [base.py (base_click:26] - [base]: 正在对:('partial link text', '登录') 元素实行点击事件
2019-04-07 15:40:25,596 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('partial link text', '登录') 元素，默认定位超时时间为: 30
2019-04-07 15:40:31,222 INFO [root] [page_login.py (page_login:57] - [page_loging] 正在执行登录操作, 用户名： 密码：123456, 验证码:8888
2019-04-07 15:40:31,223 INFO [root] [page_login.py (page_input_username:17] - [page_loging] 对：('css selector', '#username') 元素 输入用户名： 操作
2019-04-07 15:40:31,223 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#username') 元素，默认定位超时时间为: 30
2019-04-07 15:40:31,265 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#username') 元素实行清空
2019-04-07 15:40:31,323 INFO [root] [page_login.py (page_input_pwd:22] - [page_loging] 对：('css selector', '#password') 元素 输入密码：123456 操作
2019-04-07 15:40:31,323 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#password') 元素，默认定位超时时间为: 30
2019-04-07 15:40:31,339 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#password') 元素实行清空
2019-04-07 15:40:31,403 INFO [root] [page_login.py (page_input_verify_code:27] - [page_loging] 对：('css selector', '#verify_code') 元素 输入验证码：8888 操作
2019-04-07 15:40:31,403 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#verify_code') 元素，默认定位超时时间为: 30
2019-04-07 15:40:31,414 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#verify_code') 元素实行清空
2019-04-07 15:40:31,522 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.J-login-submit') 元素实行点击事件
2019-04-07 15:40:31,522 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.J-login-submit') 元素，默认定位超时时间为: 30
2019-04-07 15:40:31,678 INFO [root] [base.py (base_get_text:41] - [base]: 正在获取:('css selector', '.layui-layer-content') 元素文本值
2019-04-07 15:40:31,678 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-content') 元素，默认定位超时时间为: 30
2019-04-07 15:40:31,827 INFO [root] [base.py (base_click:26] - [base]: 正在对:('css selector', '.layui-layer-btn0') 元素实行点击事件
2019-04-07 15:40:31,827 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '.layui-layer-btn0') 元素，默认定位超时时间为: 30
2019-04-07 15:40:31,959 INFO [root] [page_login.py (page_login:57] - [page_loging] 正在执行登录操作, 用户名：13800001111 密码：, 验证码:8888
2019-04-07 15:40:31,959 INFO [root] [page_login.py (page_input_username:17] - [page_loging] 对：('css selector', '#username') 元素 输入用户名：13800001111 操作
2019-04-07 15:40:31,960 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#username') 元素，默认定位超时时间为: 30
2019-04-07 15:40:31,984 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#username') 元素实行清空
2019-04-07 15:40:32,082 INFO [root] [page_login.py (page_input_pwd:22] - [page_loging] 对：('css selector', '#password') 元素 输入密码： 操作
2019-04-07 15:40:32,082 INFO [root] [base.py (base_find:18] - [base]: 正在定位:('css selector', '#password') 元素，默认定位超时时间为: 30
2019-04-07 15:40:32,121 INFO [root] [base.py (base_input:34] - [base]: 正在对:('css selector', '#password') 元素实行清空
